kanji,strokes,group,rhyme,onyomi,kunyomi
一,1,一,r4,"イチ, イツ","ひと, ひとつ"
七,2,一,r4,シチ,"なな, ななつ, なの"
丁,2,一,p19,"チ, チョウ, チン, テイ, トウ",ひのと
下,3,一,s7,"カ, ゲ","くだす, おりる, おろす, くださる, くだす, くだり, くだる, さがる, さげる, した, しも, もと"
三,3,一,p1D,"サン, ゾウ","み, みつ, みっつ"
三,3,一,q28,"サン, ゾウ","み, みつ, みっつ"
上,3,一,s22,"シャン, ショウ, ジョウ","あがり, あがる, あげる, うえ, あがり, あがる, あげる, うえ, うわ, かみ, たてまつる, のぼす, のぼせる, のぼり, のぼる"
万,3,一,q14,"バン, マン",よろず
丈,3,一,s22,ジョウ,"たけ, だけ"
与,3,一,s6,ヨ,"あずかる, あたえる, くみする, ともに"
不,4,一,r5,"フ, ブ",
世,5,一,q8,"セ, セイ, ソウ",よ
丘,5,一,p1B,キュウ,おか
且,5,一,s21,"ショ, ショウ, ソ",かつ
且,5,一,p6,"ショ, ショウ, ソ","おおい,つつましい"
丙,5,一,s23,ヘイ,ひのえ
両,6,一,s22,リョウ,"てる, ふたつ"
並,8,一,s24,"ヘイ, ホウ","なみ, なみ, ならびに, ならぶ, ならべる"
乙,1,乙,r4,"イツ, オツ","おと, きのと"
九,2,乙,s25,"キュウ, ク","ここの, ここのつ"
乞,3,乙,r5,"キ, キケ, キツ, コチ, コツ",こう
乱,7,乙,q15,"ラン, ロン","おさめる, みだ, みだす, みだる, みだれる, わたる"
乳,8,乙,s7,ニュウ,"ち, ちち"
乾,11,乙,pE,"カン, ケン","かわかす, かわく, ひる, ほす"
乾,11,乙,p11,"カン, ケン",いぬい
中,4,丨,p1,チュウ,"うち, なか"
中,4,丨,q1,チュウ,あたる
串,7,丨,q16,"カン, ケン, セン","くし, つらぬく"
丸,3,丶,pE,ガン,"まる, まるい, まるめる"
丹,4,丶,pE,タン,に
主,5,丶,s7,"シュ, シュウ, ス","あるじ, おも, ぬし"
丼,5,丶,s23,"ショウ, セイ, タン, トン",どんぶり
了,2,亅,s17,リョウ,
予,4,亅,p6,"シャ, ヨ",われ
予,4,亅,s6,"シャ, ヨ",あらかじめ、あたえる
争,6,亅,p18,ソウ,"あらそう, いかでか"
事,8,亅,q4,"ジ, ズ","こと, つかう, つかえる"
久,3,丿,s25,"キュウ, ク",ひさしい
乏,4,丿,r17,ボウ,"とぼしい, ともしい"
乗,9,丿,p1A,"ショウ, ジョウ","のり, のせる, のる"
乗,9,丿,q25,"ショウ, ジョウ",のりもの
円,4,冂,p11,エン,"まど, まどか, まる, まるい, まろやか"
内,4,冂,q11,"ダイ, ナイ",うち
冊,5,冂,r11,"サク, サツ",ふみ
同,6,冂,p1,ドウ,おなじ
再,6,冂,q11,"サ, サイ",ふたたび
人,2,人,pB,"ジン, ニン","と, り, ひと"
今,4,人,p1C,"キン, コン",いま
化,4,人,q22,"カ, ケ","けする, ばかす, ばける, ふける"
仏,4,人,r5,"フツ, ブツ",ほとけ
仁,4,人,pB,"ジン, ニ, ニン",
介,4,人,q10,カイ,
仕,5,人,s4,"シ, ジ",つかえる
他,5,人,p15,タ,ほか
代,5,人,q11,"タイ, ダイ","がわり, がわり, かえる, かわり, かわる, かわり, かわる, しろ, よ"
以,5,人,s4,イ,もって
付,5,人,q7,フ,"つき, つけ, つける, つき, づき, づく, づけ, づける, づき, づけ, つき, つく, つけ, つけ, つける"
令,5,人,p18,レイ,もし
令,5,人,q24,レイ,しむ
仙,5,人,p11,"セン, セント",
休,6,人,p1B,キュウ,"やすまる, やすむ, やすめる"
会,6,人,q9,"エ, カイ","あう, あわせる, あつまる"
仲,6,人,q1,チュウ,なか
伝,6,人,p11,"テン, デン","づたい, つたう, つたえる, つたわる, つだう, つて"
伝,6,人,q17,"テン, デン",
仮,6,人,s21,"カ, ケ","かり, かり"
件,6,人,s16,ケン,くだん
任,6,人,q27,ニン,"まかす, まかせる"
仰,6,人,s22,"ギョウ, コウ","あおぐ, おっしゃる, おおせ, おっしゃる"
企,6,人,s4,キ,"くわだてる, たくらむ"
企,6,人,q4,キ,"くわだてる, たくらむ"
伐,6,人,r6,"カ, ハツ, バツ, ボチ","うつ, きる, そむく"
伏,6,人,r1,フク,"ふす, ふせる"
伎,6,人,q4,"キ, ギ","わざ, わざおぎ"
何,7,人,p15,カ,"なに, なに, なん, なん"
作,7,人,q21,"サ, サク","づくり, つくり, つくる"
体,7,人,s8,"タイ, テイ","かたち, からだ"
住,7,人,q7,"ジュウ, チュウ, ヂュウ","ずまい, すまう, すむ"
位,7,人,q4,イ,"くらい, ぐらい"
低,7,人,p8,テイ,"ひくい, ひくまる, ひくめる"
似,7,人,s4,ジ,"にる, ひる"
余,7,人,p6,ヨ,"あます, あまり, あまる, あんまり"
伺,7,人,q4,シ,うかがう
伸,7,人,pB,シン,"のす, のばす, のびる, のべる"
伴,7,人,s14,"ハン, バン",ともなう
佐,7,人,s20,サ,
但,7,人,s14,タン,ただし
伯,7,人,r11,ハク,
使,8,人,s4,シ,"つかい, づかい, つかい, つかう"
命,8,人,q24,"ミョウ, メイ",いのち
例,8,人,q8,レイ,たとえる
