rhyme,kanjis
p1,風中空紅東同翁公宮通窮功雄工鴻叢蓬終融濛虹童桐蟲匆弓蒙戎忠瓏豐隆崇穹櫳篷躬攻驄葱衷筒籠瞳楓聾銅聰充朧熊洪逢峒嵩忡烘礱窿曨菘僮冲癃幪茸嵷芃曈恫仝盅悤崧筩矇馮瀜夢絨騣璁朦訌蘢艟螽潨瞢嚨狨谼侗翀藭棕霳潼葒鬉葓渢懵雺氃蠓豵豅潀攏痌爞穜瘋罿烽酆巃种饛朣韸嵏艨芎螉總瀧曚崆蝀酮髳灃哄髼蚣駥葼篊逄獞漴肜硿悾娀珫茙犝渱玒緵堫汎懜鼨蓊衕菶涷烔鬷箜匑稯洚氋茼惾麷鍐愡靀鯼膧釭罞塳鬔埪篵龐艐懞橦嗡谾蠪倥囱漎哃蕫摓狪柊靇涳茺檬烿眮鏓憽絧倲叿鵼碽蔠詷浺檧鉷鶇魟猦靊鎓蝬菄霟蓪鮦爖龓蘴鄸檒鴤寷繱痋餇錝灴偑蕯埄揔秱堸襱杛仹娻崠屸徖樋爜汷樥熢碂熜愩粡囲鸗勭瓨浲鶲熥湰嵡焪葻糿艂朡篢粠嘃疘曧鯟仜棇楤娂翪濍猣漨赨焢闂幊鑨硹鸏埬熍漗䧺㤝䃧䓗䮾㰍㚇䧆䕺㹣䯷㴦㣉䀄䙦䤓䆍㒥㳘䥂䞑㸗䂫㠦㼿㼧䍶䩺䪦䆔㮬䈦䵄㦕䅝㥖䁓䰸䈵䫹䈡㲁䐋䗓䟥㩚㨑㝫㠮㚅㠉䡯㠓䏊䆪䆚䴀㓽㕼䖝㒶㢥䰒䉺㺋䰤䮵㝟䴶䈺㕬㵯㳞䲨䡫䴿䧷䱵㣝䤝㓚㭜䝦䪊㣭䲲䑃㖓㦀䘪㙹㜴䒠㝘𦨴𪔴𨍈𦏆𥵫𢃐𩐠𢫨𨾊𧠊𥭗𩅉𣌾𧙥𨍉𧳆𦮔𨏠𢊕𦿏𦯇𧱁総聡滝虫豊
p2,峰龍容松蹤重濃鐘從封蓉宗逢胸鍾冬農慵筇鋒庸舂儂供凶恭悰雍溶蜂蛩墉穠鬆茸縫鎔醲衝烽傭鏞兇邛淙邕忪鼕龔淞縱琮顒憧喁彤饔籠榕丰癰共噰卭洶跫鬃葑噰廱蛬匈賨鱅鎔蘢訩壅艟禺咚鏦憃瑢摏嫞樅籦鄘鬞褣磫膿橦恟蓯蹱桻瞛蕹彸媶庝崶澭銎憹齈舼噥瑽傛伀摓躘鏧蝩浵臃漨凇佟妐蚣滽徸褈妦捀驡蕽搈犎孮鑫鉵浲縙郺誴鉖襛槦炂熧欁赨倧桏龏髶禯詾緟炵緃篈隀嵱蹖銿笗鰫夆榵痋鷛衳嫆穁堼蚒倯鸗暰灉賩檂媀髸苳慒鍶刣婃䂌㲨䯳䗤㿈䗦䅃䧡㮪㧭㠽䡮㡣䘬䐫䳷㚵䗥䇀䅊㸼䀱㞱䙂㤏㴩㺎䝑㲇䌬䰌䳋䊄䳯㙡㣑㽫䆹䥢㜂䗬䤊䣏䃔㜉䇯㹐㫒䢉㣠䡴㐯䳉䡥㝐㟾䠜㷭䩼䗸䳍䂈䈶㢕㶻㮤㜡䢼㬝㫡䢨㼸㻾䡆䶱䇗𦨰𩅽𩘎𨑊𠟍𥎂𩥫𨙔𧝸𦬘𢪋𧝎𪔖𩂓𪔳𥳎𢧳𪄻𥍮𢃓𦭭𪚝𧘂従縦竜
p3,江窗雙邦降缸幢腔龐撞扛艭厖淙釭矼瀧杠樁尨摐哤茳鏦憃逄駹跫瑽谾庬玒樅羫肛漎梆椌洚噇狵痝蛖橦豇刅悾舽娏鬃噥啌囱涳跭栙魟愯胦憹峕垹浝牻膧佭孇堫鸏瓨欆訌㟅䉶䎫䵨㼻䜫䝄䁸䢶㼹䚒䄝䤸㟌䚎䆫㾤䜶㤶㒕䉘䚗䓼䭚㧿䃥𢥠𨇯𩐨𥆙𥎋𤵸𧊑双滝
p4,時詩知枝期遲之奇悲絲師池姿思移垂離宜疑眉辭誰隨持為馳詞衰癡兒卮碑旗夷吹儀危祠籬私欺滋支棋巵遺湄窺披茲斯墀嬉帷漪芝疲追規資施頤卑差基羈涯飢虧岐脂炊怡皮熙嗤麾肌陲維陂慈璃灕伊醫茨螭曦蕤龜司累姬咨錐緇脾葵其歧髭雌欹彝尸釐飴疵颸巇痍推迤尼糜縻羆攲騎夔貲隳羸狸箕貽篪肢治逵而蘺萎鴟彌綏楣麋羲笞鸝澌椎醨媸洟噫綦陴屍嘻梨崎蛇洏匙嫠胝罳裨醾咿猗貔毗罹淄惟萁禧瀰鷀孜嵫蓍榱嵋比菑蚩緌錘鬐姨獅蘼犧隋絺祺鷥居祇耆麗怩坻訾瓷騅祁圯扅嶷眵魑氏耔敧齊書縭褷輀丕孳僛犂槌蜊祗琦驪篩崖邳凘坯攡黐蜞葹熹鎚提埤梔倕匜跜禆氂踦鰭玼瓻撝塒畸漦罷釐廝粢錙馗磁蠡睢琪菭痿輜娭犄淇僖嚱賫詒紕騏鈹脽鮞戲麒眙伾坨嬀鸃玆偲厓茈踟黟禕戣鰣庳褫箠縲蚳蓰諆簃鼒壘泜寅埼觿妮釃栭倛胹甤觺髵鴯耛纚蘄絁壝餈虒騤椸鵻椅呞犠咦榿台呢逶雖椑獼骴宧魌鎡郿稘委翍錤罙犛貤濉劘黧琵黴趑酏唲耏峗溈鉟荽劙蔂爢郫鯔秠熺陑丌劑錡蚭薋阰濰腄跂唯觜被緦枱訑狉饎鈚齍襹剞蛦觭榰駓嗞禔禠覗鍉娸鳷椔螄蜲衼噅甀倠轜偨蚾恞誺頯虆跠豾欙齹媐陭岯頄峓芓阺嵯鈈樆旇瓵疧鶥洢摫梩箷厜仳仔吱茬詖蚑蚍栘胰蜘謻呲剺枇蠵踑觶螷孋蜱鵯呸躨鮧鵹鳲圌嫢腝虮甾禗鮍蟕簛縒齝夊誒犪孷膍瞡姕嗺鴺栺蠀姼苤鬾狓愢桋悂髬隹謘齜蘪萓璂蕬沶鶅鰦婎滖羠楑鐁毞蓶鰤軝掑桸蠝廲磃柂荾彽拸醚琟柌蛜熪銔轙燍攗荎謧荋爔浬鈭譩肶鯬芪鯕鼺袘嫘厶榹糦螔篃蜤擟芕瓃騩堳槻筣蟖桵嫛蟍娺犤纗暿濝紎郪秪衹鄬鸓諰崥攠眱倁璾稵篅蚔澬戂藣鶳魾袻魮讉耚檹啙艃箈菞洈杘蘳萆柅巙脪鉹怌猍娞錍鵸蔩薺巸倭侕飺穲怟恑妛眭諀徛瞦鶀瞝蟣邿蒒悘騦媊欐怶抾愭垐貾敮鈶抳鑴顀屔搋鴲鄈杒鬹麎猸剘陏嬨猚峏檇睝鄑瓍蚽鋖寪秓恖躸鮨錅鼶猈諅徥泀葿鳺籾狏萑葰蓷浽綥婑糸覹呰旖矖瑡嚟訵槣馶珆鑗趍惢聏魳湤簊亓苼湷墮矀濨寲臸秖藄抷秛瞴鵧焁跢荲醀胂鏔忯綨暆鶗鍦溡楒秜狋刕伎胔夂覣她鼭炋瑂瓕奞篺榯栥溮汖趀羛鋫鸍鳾隓乁侇孖汥箄扺誃駍焷禌袲欈粸酈猉沘䍦㕒䂓㜷㒧㕧㒿䧅䲭䙰䴊㮰㶟㱦䬐㔣䤈䕻䱌䔟䨨䳢㬢㖇㠌㺔䔮䜔䡋㞴㤵䬜䧳䴽䥴㝖㿲䱘䩟䇪䀵㮛㾨䮊䈘䝷䲑䂀䓡㷰㥓䛴㽧䊷䇁㞿䴧㫅䳠㰨㺇㴯㽡䝝㨢䉻㲠䚿䊳㢑䅲䲉䧌䙹䂣䌤㣍㯄㠼䅔䊍䍘䓋㟚䇫䴻㯦䌳㹫䅑㐌䝴䥯䪹㞢㦾㫷㙓䯱䐖䖽䣽䖪䘒䲬䶔䎩䶴䧝䔆䞅䳄㚝㚦䕳㔭㗓䆅㩼㔻䅻㿳䮔䭨㞾䎟㠿䎠䬮䙙㺿䮆䋩㱆䞚㰎㲤㮃䧶䳫㸏䫠䶵䫏䛐䝚䩓㧫㺨㩽㣦䡳䈕䣎㴲䮈䶆䖒䫑䭶㺰䪧䑴㘂㰘㗪㮕䊚㖢㺈㸟䌕䜅㹎䟀䄬㰻䵹㽻㨳䫋䞾㰞㻟䐅䄜䩭㰚䣫䋥䧴㖷䓜䶞䎱䥸㯅䟚䪎䱈䙾㬐㜯䭣䧦㩾䖿㷢䲹㚀㒋䣡䛂㮅䕤䗐㲍㽄㘹㺣䲿䑊䳡㛓䉲㚸䨏䬁䫢䭼䟸㶨㓟䢫㼢𩅰𤪌𧧺𥰭𥯨𧹛𦑡𨾚𩆂𧔍𠠍𣮉𧦧𧪡𣢑𪗋𪎫𧩹𠈩𩓠𦝢𢤂𨵎𥁼𤱍𤇴𩁌𩄚𩆵𣚂𠻗𩣚𢓡𦗕𦃇𦉈𧥤𧢦𧕯𧡺𢹍𢻹𤸬𦳈𦐉𤿎𪋩𪘫𥍋𡖂𢜽𪆁医亀戯犠剤糸児辞随斉堕遅痴姫弥塁
p5,歸飛衣微稀非机扉違暉機肥依輝圍磯威霏闈薇揮菲幃希畿妃晞徽璣幾譏饑旂欷祈騑圻鞿緋韋腓沂巍翬睎唏淝馡頎豨囗煇蜚葳蝛誹狶褘痱嘰埼皈禨溰俙譩巋婓鵗耭厞悕溦湋騩騛犩浠郗蜰鬿烯裶蟣鐖蚚莃楲刏僟楎婔肵鰴魕靟奜媁琋灳椲喡鍏潿媙岓癓渄媈蟦鯡飝瀈隇覹屄玂矀鰄猆郼餥禈㣲䢜㟪㱕㚻㹆䩁䇵㙨䧇㳖㹷㟓㩣䓅㫵䟇䒾䪰䈈㵟㥋㫎㙎䬠䥩䉠䖷䙟㠻㛄𨵈𢾁𠨚𥰙𧰙𠂣𤟤𧗇𦠄𩇯囲帰
p6,書餘魚居如疏廬初虛車除舒渠裾墟鋤閭余蔬漁予輿徐胥躇儲諸驢蕖梳歟噓歔琚蜍璵攄譽鉏旟蘧畬豬樗狙袪于趄與祛於菹蛆紓篨瀦臚且苴据雎沮茹淤櫚疽鶋滁袽蒢妤磲洳驉挐魖砠綀箊帤櫧鴽畲糈璩呿藘蝫岨咀屠慮舁諝阹鋙醵胠櫫涂藷湑腒蝑伃鸒雓疋耝衙齬瘀鐻摴籧鴡蒘蚷椐憈璷艅爈楈蜛抾蕠匷崌淭螶狳豦俆鵌嬩坥唹懙鵨菃侞捓婮曥伹硢捈捒涺鮽鱋櫖筎麆謯筡瑹偦籅蒣桇豠娪邚稌劯藇藸魼揟鷠郚紶㠊䃴㞐䕡䱬䈝䠧䱉㭬䝻㺞䥚㧧䔡䪶㝒䈌䣰䍱䱷䡤㯫㾒䟊䰻䢸䧾䋈䏣㡹㠠㥠䝣䘫㶛䣷㭕䮉䐳䅕䁩㱺㣄㯉䓚㽰䬔䊰䆽䂛䒧㻬㶆䐗䗨䰕𡨢𪅰𨛭𪆂𥿇𧓻虚与余誉
p7,無圖湖夫孤珠都隅壺徒殊途枯須儒呼娛蘇俱蕪符愚扶衢烏趨軀吳奴株雛虞蒲爐區腴駒糊梧驅膚徂胡紆姑臾躕吾鳧吁迂涂乎塗沽廚敷模朱拘謨壚襦誅盧濡蘆樞誣癯逋鋪租楡鱸姝渝竽酥瑚晡臞狐辜嶇鴣弧盂粗顱銖輸孥摹需艫劬芻污孚嗚趺愉毹諛巫轤屠于醐踰觚萸兪菟瑜逾揄殳雩酤桴俘菰痡繻歈郛盱蛛殂鼯嚅駑貙嵎蛄呱刳蒱玞蚨餔窬荼禺瘏酺覦矑苻鈇鏤洙櫨罛幮趍瀘褕牾圩纑莩瓠跗鶘駼唔嬃櫥闍柎笯喁枹瞿穌旴圬毋芙麩絇罦玗摸菇邾硃蝓荂稃懦孺葫茱莆於蒩瘉陬膜諏蔞杅鴝娵瓿軥氍鰅羭戵帑邘洿箍鸕姁齬酴猢鼩浯嫫箛痀醹鋘玈軱騟嵞趎顬惡婁句母喩趣嘟嘑蝴匍稌軲齵跦跔鮬睮呋朐獹峬珸釪柧瓐粰獳苸邞癒峹膴殍澞腢幠鄜楰媀湡雽嘔鑺婁咕蠕菩葡侏喣隃謼虖胊歍鎢砮孵謣滹榑慺扜蠼牏欨欋攎鰞庯鑐荴犓鱬蠦堣媰冔氀廔膢袾蘛櫯鯆鸆蜈鈲氁枎哌魱躣楜薷箶絑螐柨跿陓莁鮢橭陠斪萮鵌鷜鍝虶窏骷歑衧瞜胕懯軤鴮蕍鷵鷡怤泒橾醏漊嬬鵏庩嶀鳺鷋譕鵐曘禂眗豧駯箁盓糐荹畉綒媩墲杸誧蒤灈咮垀虍葄翑鴸廜弙堬貗鶦蜅跍郚鮕蕦酑袧挎洖麆救鯂祦枸彋潳恗燸緰妋墿瑦祩扝衭紑芋桍鵵抭瑹捗緅踙伮憮嚧豠嫴臑姇崳娐陎郙岣玸雐桙騶胍釫娪幁鈽鈷黸捈垺秼紨颫喖葋筟忂軗晇聥穻梌馟愈淲骬譃瘻茣裯鰸瞴郀璷蓃翵邭瓳麌鄃蛷螸萭鮈璑檡籚㬰㪺䧢䒀䱐㢝䅳䖘䛕㥚䈻䵾䩱㼶䓵䣯䎍㻌㹳䧸㕊䏏㪀㢳㡏䇕䆰㿖䠒䰰䫱䇓䮃㺏䝒㸖㭸㣘䖚㝼䩣䎁㭰㠸㭪㖩䩲㷻䍢㸡㯛㲎㜹㧣㽳㼋䭅䰅䂂䰧䟞䴸㱠䞛䜽䄮㦆㗅㟺㢏㺮㚥䭍㗙䔕㥥䄨䭌䎔㰭㷒䩴䞤㳛䡍㻍䢓䢐㮧㩤㪭䋶䣄㲗䮒㾰䉑䞮䃿䦜䵶㻯䮏䓏䩒㦵䅷䇬㚢䉿䈬䞕㬂䊿䊸㻀䣿㫙䣚䓊䐻㔧䉉䴣㭔㐡㼡䉐㓬𨵦𨁏𨬟𦘴𦩞𢋅𧦝𩿧𪋯𢖳𦄼𧻷𤝹𥱻𧍪𩶭𦐛𣂐𧾱𧪮𤿚𤬛悪区駆呉娯図枢炉
p8,西啼低溪迷兮栖泥齊題雞堤攜蹄梯凄嘶藜蹊畦萋稽閨鼙躋黎霓圭妻犀倪悽提犂韲臍荑鷖鯢猊暌筓鞮瓈梨奎睽奚篦羝稊隮賫蜺醯嵇擠綈鸝麛兒鵜騠麑刲鞞撕黳批鎞氐韲臡齯袿狴粞輗坭黧磾鼷蠐驪枅樨詆澌觿恓烓折蠡罤瑿緹傒徯乩蠵窐繄霋懠褆醍銻媞巂鑴締鮭柢禔婗瑅緀遆桋邽郳椑偍酅鮧蜺鶗蝭鵹鸂崥螇砒趧邌膍屖崹鷉忚棿袛嫛騱藈榽橀彽蝰麡肶謧盠廲豍艩鶈厗胿貕蒾湀鑗錍亝郪玭纗淣聧觬鑙笓鼶啙燍齌睼屔鴺斊奃猰儶豯蒵黊鬹鍗卟焍殹刕渧眱瓗蛂錅徆禵櫅鷤梋眭鑇趆茥珶磃鍷睳惿徲嗘謑驨楏媂銈腣檕釮碮螕梐郋䃜䬾䨑㙠㩦㜎䉫㼰䄢䅅䚣㢴㖒䒊㡙䮘㨒䶒䬫㯇㓳䍕䪢䝴䚷㾷㕃䵩䚜䀘㴝䫣㦒㯕䙵䔶㡗㫝䛊㔒㿽㰿㮷䯓㸄䛱㣢䐎䤍㛷䛏㰀㽯䐡䱱䧑䗗㩗䄺䪡䳶㓾䠁䖙䘽㔸䂑䔣𧋘𨻼𠜱𦎣𥌛𥏠𧡨𣢍𥝌𧬊𨥦𤮰𩧋𥉘𨏳渓児斉
p9,懷佳階齋諧乖排埋淮釵骸鞋街偕崖涯儕霾柴牌槐喈揩豺俳挨荄皆差鮭歪捱篩薶楷徘齊秸褢箄螷痎稭湝啀櫰膎瀤崽睚齜搋祡榸蘹徍摨喍媘誽夈瑎棑娾捚犤掜薢煯膗榽擓徥蝔鶛啡猈諰輫篺猅唻麡淣腉慀溾䕸㠢䡨㗨㪓㥟㦟㔞㪰㾹㜥䁲䔝䃶㾩㨤䍲㨙䨪㗍㼮䓙䓱䴜㜳䙎䯐䳸䂷㩄䬩㾬䃈䡡䚑䱝䠹𥱼𩘅𥳧𦂄𢶀𩑢𢰇𧱾𢔡佳涯厓蛙娃鮭哇媧蝸騧靫緺徍猚唲芆䦱㰪𦶎懐斎斉
pA,來開台臺才哀苔埃哉萊材猜裁栽胎災垓腮孩財咍皚該荄駘毸陔獃徠擡鰓纔能鮐炱儓崍賅騋侅邰頦挼菑薹唉祴思峐騃偲郲欸咳檯剴胲倈毢絯麳郂敱隑鶆籉跆愢懛棶毐颱鯠揌嵦斄烗淶旲珆啋磑睵渽婡溾箂孻賳唻猍琜箈庲倈輫豥奒嬯䑓䰄㶼䐩㜾㬃㯁䋱䚡䴭䠕䠽䱺䪱㸀㰩㰧㨟䅘㙵㾍㾂䬵䤤㒲㱾䞗㚊㷘䧒㱼䶣䯮㱯䀭𪒴𨸜𤸳𤗏𪑚𤘑𧻲回杯梅催雷灰徊堆嵬隈摧陪媒頽罍魁瑰枚醅培洄槐豗推煤恢隤桅偎煨巍裴詼崔莓胚壞禖佪隗搥縗漼尵霉抔魋鋂虺衃啡賠玫傀崴脢塺磓敦嗺焞盔酶轠蘈悝紑頧慛蓷鎚櫑柸攂蛔恛咴腜羧鐳畾墔毰誒僓弚茴捼鏙蹪痦彽檑鑘椳凗瓃渨愄熣陫荋葨磪錑螚妚陮阫鞼湈燘簂詴鐜烠繢櫆鸓顝鮠棓碨晆揋藬藱鼿鰃廆洃脧坆讉阢儡鴭膭痽謘橔槯䍙䭔㿉䋿㕍㟴㢈䝅䙑㟝䊈䀃㵢㛱㜠㞜䂙㻁䨓䣙䖶䝇㷇䤂䜃㿗䍣㷟㺳㚰㾯㮎䫊㙁𩌃𤳳𤗏𧝋𨛬𨻵壊台来
